edge_id,sheet,edge_type,node_u,node_v,row_u,row_v,electrode,particle_u,particle_v,particle_id,component_status,gap_lower_nm,gap_upper_nm,gap_estimate_nm,classification,threshold_relation,method,capsule_lower_bound_nm,gjk_iterations,gjk_converged,slsqp_check_gap_nm,slsqp_abs_difference_nm,slsqp_same_threshold_class,crossing_axes,shift_x,shift_y,shift_z,mapped_endpoint_residual_nm,enabled
组2:PAIR:r16:r19,组2,cylinder_contact,r16,r19,16,19,,,,,,0.0,1.7265948717538152e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,7,True,4.565202517656249e-13,4.565202517656249e-13,True,,,,,,
组2:PAIR:r16:r36,组2,cylinder_contact,r16,r36,16,36,,,,,,0.0,1.465584092043925e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,9.094947017729282e-13,9.094947017729282e-13,True,,,,,,
组2:PAIR:r20:r32,组2,cylinder_contact,r20,r32,20,32,,,,,,0.0,1.4230730689125853e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,6.511650267020756e-13,6.511650267020756e-13,True,,,,,,
组2:PAIR:r21:r23,组2,cylinder_contact,r21,r23,21,23,,,,,,0.0,1.4235358045374003e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.2445774151355083e-11,1.2445774151355083e-11,True,,,,,,
组2:PAIR:r25:r31,组2,cylinder_contact,r25,r31,25,31,,,,,,0.0,1.4280326400349035e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.4210854715202004e-14,1.4210854715202004e-14,True,,,,,,
组2:PAIR:r25:r32,组2,cylinder_contact,r25,r32,25,32,,,,,,0.0,9.947931235031256e-11,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.5208828249434925e-11,1.5208828249434925e-11,True,,,,,,
组2:PAIR:r25:r37,组2,cylinder_contact,r25,r37,25,37,,,,,,0.0,9.904567094827735e-11,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,5.239944532003689e-10,5.239944532003689e-10,True,,,,,,
组2:PAIR:r26:r41,组2,cylinder_contact,r26,r41,26,41,,,,,,0.0,1.9722499377516499e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.0064104835181445e-11,1.0064104835181445e-11,True,,,,,,
组2:PAIR:r28:r35,组2,cylinder_contact,r28,r35,28,35,,,,,,0.0,1.432574219475372e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,6.821210263296962e-13,6.821210263296962e-13,True,,,,,,
组2:PAIR:r28:r38,组2,cylinder_contact,r28,r38,28,38,,,,,,0.0,1.4952253745703913e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.591976915943464e-13,4.591976915943464e-13,True,,,,,,
组2:PAIR:r29:r40,组2,cylinder_contact,r29,r40,29,40,,,,,,0.0,1.8744045431155152e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,2.2772866968819164e-12,2.2772866968819164e-12,True,,,,,,
组2:PAIR:r35:r36,组2,cylinder_contact,r35,r36,35,36,,,,,,0.0,1.465569929785847e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,3.4883596115620364e-13,3.4883596115620364e-13,True,,,,,,
组2:PAIR:r35:r40,组2,cylinder_contact,r35,r40,35,40,,,,,,0.0,1.8789581188243867e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,2.4116620165382783e-13,2.4116620165382783e-13,True,,,,,,
组2:PAIR:r36:r38,组2,cylinder_contact,r36,r38,36,38,,,,,,0.0,1.4861302138440174e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.1457157353758233e-13,1.1457157353758233e-13,True,,,,,,
组2:PAIR:r36:r45,组2,cylinder_contact,r36,r45,36,45,,,,,,0.0,2.2365437269505664e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.8225386545374702e-12,1.8225386545374702e-12,True,,,,,,
组2:PAIR:r42:r43,组2,cylinder_contact,r42,r43,42,43,,,,,,0.0,1.8988458294165568e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.81737533526774e-10,4.81737533526774e-10,True,,,,,,
组2:PAIR:r43:r46,组2,cylinder_contact,r43,r46,43,46,,,,,,0.0,2.3017602272136758e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.180442248897588e-13,1.180442248897588e-13,True,,,,,,
组2:PAIR:r46:r50,组2,cylinder_contact,r46,r50,46,50,,,,,,0.0,2.564586093539256e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,2.929642751054232e-14,2.929642751054232e-14,True,,,,,,
组2:PAIR:r47:r48,组2,cylinder_contact,r47,r48,47,48,,,,,,0.0,2.3037343521226605e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.0537414738097338e-07,1.0537414738097338e-07,True,,,,,,
组3:PAIR:r3:r236,组3,cylinder_contact,r3,r236,3,236,,,,,,0.0,3.6322330679598313e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,7.190186943645083e-13,7.190186943645083e-13,True,,,,,,
组3:PAIR:r4:r13,组3,cylinder_contact,r4,r13,4,13,,,,,,0.0,3.90169657312094e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.1382885756177522e-12,1.1382885756177522e-12,True,,,,,,
组3:PAIR:r4:r109,组3,cylinder_contact,r4,r109,4,109,,,,,,0.0,3.7520979693301093e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,6.834519954515513e-13,6.834519954515513e-13,True,,,,,,
组3:PAIR:r4:r137,组3,cylinder_contact,r4,r137,4,137,,,,,,0.0,3.799100440450146e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,6.355287432313019e-14,6.355287432313019e-14,True,,,,,,
组3:PAIR:r8:r108,组3,cylinder_contact,r8,r108,8,108,,,,,,0.0,3.6284535569869344e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,5.084229945850414e-13,5.084229945850414e-13,True,,,,,,
组3:PAIR:r12:r96,组3,cylinder_contact,r12,r96,12,96,,,,,,0.0,2.8160729015200255e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,2.04715241868247e-12,2.04715241868247e-12,True,,,,,,
组3:PAIR:r12:r99,组3,cylinder_contact,r12,r99,12,99,,,,,,0.0,3.03367651678625e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.017739309065398e-12,1.017739309065398e-12,True,,,,,,
组3:PAIR:r15:r96,组3,cylinder_contact,r15,r96,15,96,,,,,,0.0,3.0598201795062774e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,9.443537991180705e-13,9.443537991180705e-13,True,,,,,,
组3:PAIR:r15:r108,组3,cylinder_contact,r15,r108,15,108,,,,,,0.0,3.0620939162607097e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,1.2710574864626036e-13,1.2710574864626036e-13,True,,,,,,
组3:PAIR:r15:r283,组3,cylinder_contact,r15,r283,15,283,,,,,,0.0,3.066251278217046e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.1368683772161603e-12,1.1368683772161603e-12,True,,,,,,
组3:PAIR:r16:r108,组3,cylinder_contact,r16,r108,16,108,,,,,,0.0,3.048256077220258e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,1.1718571004216928e-13,1.1718571004216928e-13,True,,,,,,
组3:PAIR:r18:r145,组3,cylinder_contact,r18,r145,18,145,,,,,,0.6514112041151494,0.6514112065906044,0.6514112053528769,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.6514112062508914,11,False,0.6514112062509814,8.981044796740889e-10,True,,,,,,
组3:PAIR:r23:r38,组3,cylinder_contact,r23,r38,23,38,,,,,,0.0,2.4855373990347826e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.5127480943155456e-10,1.5127480943155456e-10,True,,,,,,
组3:PAIR:r25:r121,组3,cylinder_contact,r25,r121,25,121,,,,,,0.0,3.393595527323306e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.0419570787589327e-12,1.0419570787589327e-12,True,,,,,,
组3:PAIR:r31:r158,组3,cylinder_contact,r31,r158,31,158,,,,,,0.0,3.0671241188708456e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,4.823324033076557e-13,4.823324033076557e-13,True,,,,,,
组3:PAIR:r33:r34,组3,cylinder_contact,r33,r34,33,34,,,,,,0.0,3.000663225375869e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,5.796914039811764e-13,5.796914039811764e-13,True,,,,,,
组3:PAIR:r34:r209,组3,cylinder_contact,r34,r209,34,209,,,,,,0.0,2.7979659812699566e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.582862941503293e-13,4.582862941503293e-13,True,,,,,,
组3:PAIR:r35:r140,组3,cylinder_contact,r35,r140,35,140,,,,,,0.0,2.862808523211742e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,6.915300366811403e-13,6.915300366811403e-13,True,,,,,,
组3:PAIR:r48:r116,组3,cylinder_contact,r48,r116,48,116,,,,,,0.0,2.799068332862582e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,7.391010753932416e-13,7.391010753932416e-13,True,,,,,,
组3:PAIR:r52:r133,组3,cylinder_contact,r52,r133,52,133,,,,,,0.0,2.4774567740756874e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,6.938623537128991e-13,6.938623537128991e-13,True,,,,,,
组3:PAIR:r59:r157,组3,cylinder_contact,r59,r157,59,157,,,,,,0.0,2.1796710533608894e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.2247745318299647e-12,1.2247745318299647e-12,True,,,,,,
组3:PAIR:r65:r266,组3,cylinder_contact,r65,r266,65,266,,,,,,0.0,2.5748551376950306e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,6.302189627392726e-12,6.302189627392726e-12,True,,,,,,
组3:PAIR:r67:r124,组3,cylinder_contact,r67,r124,67,124,,,,,,0.0,2.539438146939201e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,2.2914314707516465e-13,2.2914314707516465e-13,True,,,,,,
组3:PAIR:r69:r98,组3,cylinder_contact,r69,r98,69,98,,,,,,0.0,3.727464924304451e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,8.198074455012805e-13,8.198074455012805e-13,True,,,,,,
组3:PAIR:r74:r185,组3,cylinder_contact,r74,r185,74,185,,,,,,0.0,2.498241530057477e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,7.008127344043915e-13,7.008127344043915e-13,True,,,,,,
组3:PAIR:r78:r102,组3,cylinder_contact,r78,r102,78,102,,,,,,0.0,3.53030638843674e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.159382807962353e-12,1.159382807962353e-12,True,,,,,,
组3:PAIR:r79:r207,组3,cylinder_contact,r79,r207,79,207,,,,,,0.0,2.3270556671151603e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,2.3437142008433857e-12,2.3437142008433857e-12,True,,,,,,
组3:PAIR:r81:r124,组3,cylinder_contact,r81,r124,81,124,,,,,,0.7906647803569417,0.7906647822915408,0.7906647813242412,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.790664782001393,512,False,0.7906647821141453,7.89904031073263e-10,True,,,,,,
组3:PAIR:r81:r183,组3,cylinder_contact,r81,r183,81,183,,,,,,0.0,2.616565840640127e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,2.2737367544323206e-13,2.2737367544323206e-13,True,,,,,,
组3:PAIR:r94:r119,组3,cylinder_contact,r94,r119,94,119,,,,,,0.0,3.302665447437366e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,2.451526899318176e-12,2.451526899318176e-12,True,,,,,,
组3:PAIR:r94:r123,组3,cylinder_contact,r94,r123,94,123,,,,,,0.0,3.2882528589770684e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,9.646648066153115e-13,9.646648066153115e-13,True,,,,,,
组3:PAIR:r94:r134,组3,cylinder_contact,r94,r134,94,134,,,,,,0.0,3.2956469432373986e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,9.374856803373542e-13,9.374856803373542e-13,True,,,,,,
组3:PAIR:r96:r130,组3,cylinder_contact,r96,r130,96,130,,,,,,0.0,2.6993469433224526e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.2710574864626038e-13,1.2710574864626038e-13,True,,,,,,
组3:PAIR:r96:r183,组3,cylinder_contact,r96,r183,96,183,,,,,,0.0,2.6963183832887953e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.856703836433968e-13,4.856703836433968e-13,True,,,,,,
组3:PAIR:r97:r111,组3,cylinder_contact,r97,r111,97,111,,,,,,0.0,2.938845067991935e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.8082998531766482e-12,1.8082998531766482e-12,True,,,,,,
组3:PAIR:r97:r128,组3,cylinder_contact,r97,r128,97,128,,,,,,0.0,1.482323026214072e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,6.514960105912179e-12,6.514960105912179e-12,True,,,,,,
组3:PAIR:r99:r192,组3,cylinder_contact,r99,r192,99,192,,,,,,0.0,3.027245418075481e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,9.205299841540664e-13,9.205299841540664e-13,True,,,,,,
组3:PAIR:r103:r276,组3,cylinder_contact,r103,r276,103,276,,,,,,0.0,1.6091376243116133e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,7.190186943645083e-13,7.190186943645083e-13,True,,,,,,
组3:PAIR:r105:r251,组3,cylinder_contact,r105,r251,105,251,,,,,,0.0,2.01853438646169e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,5.209785393794664e-13,5.209785393794664e-13,True,,,,,,
组3:PAIR:r107:r217,组3,cylinder_contact,r107,r217,107,217,,,,,,0.0,3.9632085429811566e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,1.1390866590859189e-12,1.1390866590859189e-12,True,,,,,,
组3:PAIR:r110:r130,组3,cylinder_contact,r110,r130,110,130,,,,,,0.6696380953875114,0.669638101433795,0.6696380984106531,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.6696381011183306,512,False,0.6696381011735096,2.762856499138877e-09,True,,,,,,
组3:PAIR:r111:r115,组3,cylinder_contact,r111,r115,111,115,,,,,,0.0,2.942220207452614e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,6.233367514443361e-13,6.233367514443361e-13,True,,,,,,
组3:PAIR:r112:r134,组3,cylinder_contact,r112,r134,112,134,,,,,,0.0,3.56241475281761e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,7.36774916095767e-13,7.36774916095767e-13,True,,,,,,
组3:PAIR:r117:r137,组3,cylinder_contact,r117,r137,117,137,,,,,,0.0,3.794552966941281e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.2537719614005497e-13,4.2537719614005497e-13,True,,,,,,
组3:PAIR:r119:r166,组3,cylinder_contact,r119,r166,119,166,,,,,,0.0,2.0660564259779076e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,8.098342059535243e-12,8.098342059535243e-12,True,,,,,,
组3:PAIR:r119:r186,组3,cylinder_contact,r119,r186,119,186,,,,,,0.0,2.0709537867188277e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,9.379164112033322e-13,9.379164112033322e-13,True,,,,,,
组3:PAIR:r120:r140,组3,cylinder_contact,r120,r140,120,140,,,,,,0.0,2.967317202477125e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,1.1368683772161602e-13,1.1368683772161602e-13,True,,,,,,
组3:PAIR:r121:r125,组3,cylinder_contact,r121,r125,121,125,,,,,,0.0,4.065400081310672e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.256998097431732e-12,1.256998097431732e-12,True,,,,,,
组3:PAIR:r123:r130,组3,cylinder_contact,r123,r130,123,130,,,,,,0.0,3.1569363569008337e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.567064913625725e-12,1.567064913625725e-12,True,,,,,,
组3:PAIR:r123:r163,组3,cylinder_contact,r123,r163,123,163,,,,,,0.0,3.1559658270769926e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,7,True,4.547473508864641e-13,4.547473508864641e-13,True,,,,,,
组3:PAIR:r126:r163,组3,cylinder_contact,r126,r163,126,163,,,,,,0.0,3.681762968831592e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,5.569494857771083e-13,5.569494857771083e-13,True,,,,,,
组3:PAIR:r126:r236,组3,cylinder_contact,r126,r236,126,236,,,,,,0.0,3.6822997252685774e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.632702903446565e-13,1.632702903446565e-13,True,,,,,,
组3:PAIR:r133:r158,组3,cylinder_contact,r133,r158,133,158,,,,,,0.0,2.5645532316965793e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,8.987733679556354e-14,8.987733679556354e-14,True,,,,,,
组3:PAIR:r134:r183,组3,cylinder_contact,r134,r183,134,183,,,,,,0.0,2.8170993678570285e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.1138989715542167e-12,1.1138989715542167e-12,True,,,,,,
组3:PAIR:r135:r171,组3,cylinder_contact,r135,r171,135,171,,,,,,0.0,3.1397551643780504e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,3.1776437161565096e-14,3.1776437161565096e-14,True,,,,,,
组3:PAIR:r136:r161,组3,cylinder_contact,r136,r161,136,161,,,,,,0.0,3.8791296201352306e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.6077746776921858e-13,1.6077746776921858e-13,True,,,,,,
组3:PAIR:r136:r239,组3,cylinder_contact,r136,r239,136,239,,,,,,0.0,3.8750135889124226e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.823324033076557e-13,4.823324033076557e-13,True,,,,,,
组3:PAIR:r138:r237,组3,cylinder_contact,r138,r237,138,237,,,,,,0.0,2.38309762302247e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.4572883336875599e-12,1.4572883336875599e-12,True,,,,,,
组3:PAIR:r139:r182,组3,cylinder_contact,r139,r182,139,182,,,,,,0.0,1.9621280469889224e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,8.038873388460929e-14,8.038873388460929e-14,True,,,,,,
组3:PAIR:r139:r188,组3,cylinder_contact,r139,r188,139,188,,,,,,0.0,1.974947238150902e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,3.639754730461873e-13,3.639754730461873e-13,True,,,,,,
组3:PAIR:r146:r338,组3,cylinder_contact,r146,r338,146,338,,,,,,0.0,1.9700654241512287e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.547473508864641e-13,4.547473508864641e-13,True,,,,,,
组3:PAIR:r148:r162,组3,cylinder_contact,r148,r162,148,162,,,,,,0.0,4.0138241505275145e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.1593828079623528e-12,1.1593828079623528e-12,True,,,,,,
组3:PAIR:r156:r251,组3,cylinder_contact,r156,r251,156,251,,,,,,0.0,2.334041866939208e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.1368683772161603e-13,1.1368683772161603e-13,True,,,,,,
组3:PAIR:r159:r163,组3,cylinder_contact,r159,r163,159,163,,,,,,0.0,2.976863816857135e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.2505552149377761e-12,1.2505552149377761e-12,True,,,,,,
组3:PAIR:r159:r197,组3,cylinder_contact,r159,r197,159,197,,,,,,0.0,2.919374556727555e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,9.812236146964348e-11,9.812236146964348e-11,True,,,,,,
组3:PAIR:r160:r209,组3,cylinder_contact,r160,r209,160,209,,,,,,0.0,2.8550548753148186e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,1.2834101332393602e-13,1.2834101332393602e-13,True,,,,,,
组3:PAIR:r161:r239,组3,cylinder_contact,r161,r239,161,239,,,,,,0.0,3.623870043462374e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,7,True,1.140188868083145e-11,1.140188868083145e-11,True,,,,,,
组3:PAIR:r162:r192,组3,cylinder_contact,r162,r192,162,192,,,,,,0.0,3.1407369772378633e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,2.604892696897332e-13,2.604892696897332e-13,True,,,,,,
组3:PAIR:r164:r178,组3,cylinder_contact,r164,r178,164,178,,,,,,0.0,3.258441145259948e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,3.938227581713539e-13,3.938227581713539e-13,True,,,,,,
组3:PAIR:r167:r211,组3,cylinder_contact,r167,r211,167,211,,,,,,0.0,3.349077392926414e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,3.457613971339155e-11,3.457613971339155e-11,True,,,,,,
组3:PAIR:r169:r175,组3,cylinder_contact,r169,r175,169,175,,,,,,0.0,3.680848773732284e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,5.209785393794665e-13,5.209785393794665e-13,True,,,,,,
组3:PAIR:r172:r195,组3,cylinder_contact,r172,r195,172,195,,,,,,0.0,2.61479058754282e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,7.731540852509763e-13,7.731540852509763e-13,True,,,,,,
组3:PAIR:r172:r357,组3,cylinder_contact,r172,r357,172,357,,,,,,0.0,2.544085043819076e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.0267281065914884e-12,1.0267281065914884e-12,True,,,,,,
组3:PAIR:r174:r318,组3,cylinder_contact,r174,r318,174,318,,,,,,0.6787506345906529,0.6787506392934962,0.6787506369420746,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.6787506389011781,512,False,0.6787506392675574,2.325482806320167e-09,True,,,,,,
组3:PAIR:r176:r211,组3,cylinder_contact,r176,r211,176,211,,,,,,0.0,3.262679948635211e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,9.099386826154683e-13,9.099386826154683e-13,True,,,,,,
组3:PAIR:r178:r198,组3,cylinder_contact,r178,r198,178,198,,,,,,0.0,2.1286491858327163e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,6.355287432313019e-14,6.355287432313019e-14,True,,,,,,
组3:PAIR:r179:r183,组3,cylinder_contact,r179,r183,179,183,,,,,,0.0,2.2523409545231027e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.686439916067154e-11,1.686439916067154e-11,True,,,,,,
